[Mon Oct 22 09:24:03.601698 2018] [:error] [pid 8225] [client 82.240.205.105:59462] PHP Warning:  mkdir(): Permission denied in /home/charles/bondecampe/index.php on line 17
[Mon Oct 22 09:27:20.936666 2018] [:error] [pid 8230] [client 82.240.205.105:59465] PHP Warning:  mkdir(): Permission denied in /home/charles/bondecampe/index.php on line 22
[Mon Oct 22 09:27:29.309536 2018] [:error] [pid 8226] [client 82.240.205.105:59469] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Mon Oct 22 09:27:29.310650 2018] [:error] [pid 8226] [client 82.240.205.105:59469] PHP Notice:  Use of undefined constant ALL - assumed 'ALL' in /home/charles/bondecampe/index.php on line 35
[Mon Oct 22 09:28:04.542348 2018] [:error] [pid 8227] [client 82.240.205.105:59470] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Mon Oct 22 09:28:04.542524 2018] [:error] [pid 8227] [client 82.240.205.105:59470] PHP Notice:  Use of undefined constant ALL - assumed 'ALL' in /home/charles/bondecampe/index.php on line 35
[Mon Oct 22 09:28:07.471085 2018] [:error] [pid 8249] [client 82.240.205.105:59471] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Mon Oct 22 09:28:07.471585 2018] [:error] [pid 8249] [client 82.240.205.105:59471] PHP Fatal error:  Uncaught Error: Call to undefined function split() in /home/charles/bondecampe/index.php:73\nStack trace:\n#0 {main}\n  thrown in /home/charles/bondecampe/index.php on line 73
[Mon Oct 22 09:28:07.934410 2018] [:error] [pid 8229] [client 82.240.205.105:59472] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Mon Oct 22 09:28:07.934724 2018] [:error] [pid 8229] [client 82.240.205.105:59472] PHP Fatal error:  Uncaught Error: Call to undefined function split() in /home/charles/bondecampe/index.php:73\nStack trace:\n#0 {main}\n  thrown in /home/charles/bondecampe/index.php on line 73
[Mon Oct 22 09:28:08.328828 2018] [:error] [pid 8250] [client 82.240.205.105:59473] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Mon Oct 22 09:28:08.329210 2018] [:error] [pid 8250] [client 82.240.205.105:59473] PHP Fatal error:  Uncaught Error: Call to undefined function split() in /home/charles/bondecampe/index.php:73\nStack trace:\n#0 {main}\n  thrown in /home/charles/bondecampe/index.php on line 73
[Mon Oct 22 09:28:08.522622 2018] [:error] [pid 8249] [client 82.240.205.105:59474] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Mon Oct 22 09:28:08.522889 2018] [:error] [pid 8249] [client 82.240.205.105:59474] PHP Fatal error:  Uncaught Error: Call to undefined function split() in /home/charles/bondecampe/index.php:73\nStack trace:\n#0 {main}\n  thrown in /home/charles/bondecampe/index.php on line 73
[Mon Oct 22 09:29:40.577451 2018] [:error] [pid 8249] [client 54.36.148.177:33570] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Mon Oct 22 09:29:40.578548 2018] [:error] [pid 8249] [client 54.36.148.177:33570] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Mon Oct 22 09:29:40.578844 2018] [:error] [pid 8249] [client 54.36.148.177:33570] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Mon Oct 22 09:29:49.911716 2018] [:error] [pid 8252] [client 82.240.205.105:59480] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Mon Oct 22 09:29:52.591531 2018] [:error] [pid 8227] [client 82.240.205.105:59481] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/
[Mon Oct 22 09:30:06.741652 2018] [:error] [pid 8228] [client 82.240.205.105:59483] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/album/2014-Trouble78.php
[Mon Oct 22 09:38:51.164169 2018] [:error] [pid 8250] [client 82.240.205.105:59507] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/album/2014-Trouble78.php
[Mon Oct 22 09:38:51.739980 2018] [:error] [pid 8249] [client 82.240.205.105:59508] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/
[Mon Oct 22 09:38:55.886359 2018] [:error] [pid 8249] [client 82.240.205.105:59508] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/album/2014-Trouble78.php
[Mon Oct 22 09:39:35.377855 2018] [:error] [pid 8228] [client 82.240.205.105:59517] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/album/2014-Trouble78.php
[Mon Oct 22 09:39:52.122379 2018] [:error] [pid 8230] [client 82.240.205.105:59524] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/
[Mon Oct 22 09:43:09.552389 2018] [:error] [pid 8249] [client 82.240.205.105:59547] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/
[Mon Oct 22 09:43:10.523878 2018] [:error] [pid 8252] [client 82.240.205.105:59548] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/album/2014-Trouble78.php
[Mon Oct 22 09:43:11.164633 2018] [:error] [pid 8252] [client 82.240.205.105:59548] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/album/2014-Trouble78.php
[Mon Oct 22 09:43:11.788821 2018] [:error] [pid 8252] [client 82.240.205.105:59548] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/
[Mon Oct 22 10:04:52.979756 2018] [:error] [pid 8250] [client 82.240.205.105:59620] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Mon Oct 22 10:04:54.426688 2018] [:error] [pid 8250] [client 82.240.205.105:59620] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/
[Mon Oct 22 10:05:49.105347 2018] [:error] [pid 8228] [client 82.240.205.105:59623] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/
[Mon Oct 22 10:05:50.543205 2018] [:error] [pid 8228] [client 82.240.205.105:59623] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/album/2018-demo.php
[Mon Oct 22 10:05:51.499009 2018] [:error] [pid 8228] [client 82.240.205.105:59623] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/
